Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28111789,MALARIA_RDT_POS,COUNTRY,CAF,YEAR,2018,,,,,,,,,854 852,854852,,,,2022-02-10T07:52:01Z,2018,2018-01-01,2018-12-31
28111790,MALARIA_RDT_POS,COUNTRY,CAF,YEAR,2019,,,,,,,,,2 220 547,2220547,,,,2022-02-10T07:52:01Z,2019,2019-01-01,2019-12-31
28111791,MALARIA_RDT_POS,COUNTRY,CAF,YEAR,2020,,,,,,,,,1 563 228,1563228,,,,2022-02-10T07:52:01Z,2020,2020-01-01,2020-12-31
28111792,MALARIA_RDT_POS,COUNTRY,CIV,YEAR,2012,,,,,,,,,1 033 064,1033064,,,,2022-02-10T07:52:01Z,2012,2012-01-01,2012-12-31
28111793,MALARIA_RDT_POS,COUNTRY,CIV,YEAR,2013,,,,,,,,,2 309 222,2309222,,,,2022-02-10T07:52:01Z,2013,2013-01-01,2013-12-31
28111794,MALARIA_RDT_POS,COUNTRY,CIV,YEAR,2014,,,,,,,,,3 405 905,3405905,,,,2022-02-10T07:52:01Z,2014,2014-01-01,2014-12-31
28111795,MALARIA_RDT_POS,COUNTRY,CIV,YEAR,2015,,,,,,,,,2 897 034,2897034,,,,2022-02-10T07:52:01Z,2015,2015-01-01,2015-12-31
28111796,MALARIA_RDT_POS,COUNTRY,CIV,YEAR,2016,,,,,,,,,3 174 938,3174938,,,,2022-02-10T07:52:01Z,2016,2016-01-01,2016-12-31
28111797,MALARIA_RDT_POS,COUNTRY,CIV,YEAR,2017,,,,,,,,,3 445 812,3445812,,,,2022-02-10T07:52:01Z,2017,2017-01-01,2017-12-31
28111798,MALARIA_RDT_POS,COUNTRY,CIV,YEAR,2018,,,,,,,,,4 070 353,4070353,,,,2022-02-10T07:52:01Z,2018,2018-01-01,2018-12-31
28111799,MALARIA_RDT_POS,COUNTRY,CIV,YEAR,2019,,,,,,,,,5 016 807,5016807,,,,2022-02-10T07:52:01Z,2019,2019-01-01,2019-12-31
28111800,MALARIA_RDT_POS,COUNTRY,CIV,YEAR,2020,,,,,,,,,4 048 013,4048013,,,,2022-02-10T07:52:01Z,2020,2020-01-01,2020-12-31
28111801,MALARIA_RDT_POS,COUNTRY,CMR,YEAR,2011,,,,,,,,,17 874,17874,,,,2022-02-10T07:52:01Z,2011,2011-01-01,2011-12-31
28111802,MALARIA_RDT_POS,COUNTRY,CMR,YEAR,2012,,,,,,,,,66 656,66656,,,,2022-02-10T07:52:01Z,2012,2012-01-01,2012-12-31
28111803,MALARIA_RDT_POS,COUNTRY,CMR,YEAR,2013,,,,,,,,,42 581,42581,,,,2022-02-10T07:52:01Z,2013,2013-01-01,2013-12-31
28111804,MALARIA_RDT_POS,COUNTRY,CMR,YEAR,2015,,,,,,,,,600 930,600930,,,,2022-02-10T07:52:01Z,2015,2015-01-01,2015-12-31
28111805,MALARIA_RDT_POS,COUNTRY,CMR,YEAR,2016,,,,,,,,,1 665 786,1665786,,,,2022-02-10T07:52:01Z,2016,2016-01-01,2016-12-31
28111806,MALARIA_RDT_POS,COUNTRY,CMR,YEAR,2017,,,,,,,,,1 854 658,1854658,,,,2022-02-10T07:52:01Z,2017,2017-01-01,2017-12-31
